Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,4,Import,191,Croatia,HRV,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,22318236,22318236,5871386
H5,2018,2018,2018,4,Export,191,Croatia,HRV,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,21657287,21657287,7081616
H5,2018,2018,2018,6,Import,191,Croatia,HRV,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,10652852,10652852,2506286
H5,2018,2018,2018,6,Export,191,Croatia,HRV,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,10688289,10688289,2878745
H5,2018,2018,2018,6,Import,191,Croatia,HRV,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,19260,19260,17717
H5,2018,2018,2018,6,Export,191,Croatia,HRV,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1303696,1303696,808944
H5,2018,2018,2018,6,Import,191,Croatia,HRV,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,123650,123650,102601
H5,2018,2018,2018,6,Export,191,Croatia,HRV,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,380140,380140,167602
H5,2018,2018,2018,6,Import,191,Croatia,HRV,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,11522473,,3244782
H5,2018,2018,2018,6,Export,191,Croatia,HRV,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,9285162,9285162,3226325
H5,2018,2018,2018,4,Import,203,Czechia,CZE,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,5211633,5211633,1677250
H5,2018,2018,2018,4,Export,203,Czechia,CZE,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,10214878,10214878,4048672
H5,2018,2018,2018,6,Import,203,Czechia,CZE,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,304512,304512,311902
H5,2018,2018,2018,6,Export,203,Czechia,CZE,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,3025531,3025531,888563
H5,2018,2018,2018,6,Import,203,Czechia,CZE,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1356733,1356733,346623
H5,2018,2018,2018,6,Export,203,Czechia,CZE,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1036900,1036900,716012
H5,2018,2018,2018,6,Import,203,Czechia,CZE,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,1881154,1881154,496756
H5,2018,2018,2018,6,Export,203,Czechia,CZE,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,215949,215949,53072
H5,2018,2018,2018,6,Import,203,Czechia,CZE,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,1669234,1669234,521969
H5,2018,2018,2018,6,Export,203,Czechia,CZE,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,5936498,5936498,2391025
H5,2018,2018,2018,4,Import,208,Denmark,DNK,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,71615280,71615280,21092946
H5,2018,2018,2018,4,Export,208,Denmark,DNK,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,55232799,55232799,18053128
H5,2018,2018,2018,6,Import,208,Denmark,DNK,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,13383962,13383962,7820106
H5,2018,2018,2018,6,Export,208,Denmark,DNK,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,29378832,29378832,11655316
H5,2018,2018,2018,6,Import,208,Denmark,DNK,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,3435202,3435202,3371942
H5,2018,2018,2018,6,Export,208,Denmark,DNK,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,3545478,3545478,1871018
H5,2018,2018,2018,6,Import,208,Denmark,DNK,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,23,23,1256
H5,2018,2018,2018,6,Export,208,Denmark,DNK,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,869380,869380,211464
H5,2018,2018,2018,6,Import,208,Denmark,DNK,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,54796093,54796093,9899640
H5,2018,2018,2018,6,Export,208,Denmark,DNK,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,21439109,21439109,4315329
H5,2018,2018,2018,4,Import,218,Ecuador,ECU,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,8421769,8125518,3664679
